ImageID,Taxa in original image,"Makes treefile / svg? (1=yes, 0=no)",GenBankIDs,Pseudo-GB-IDs,Pseudo/Total %,Tree Assessment (out of 100),Taxon labels missing,Can TreeGraph2 interpret Newick output,Number of OCR errors (raw number of incorrect characters),Notes,Link to Original Image
65194-0-001,14,1,0,0,0,100,missing all but three,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65194-0-001.pbm.png
65197-0-000,22,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65197-0-000.pbm.png
65199-0-001,25,1,20,20,80,100,5,1,19,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65199-0-001.pbm.png
65200-0-001,54,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65200-0-001.pbm.png
65202-0-000,27,1,18,19,70.37037037,100,7,1,6,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65202-0-000.pbm.png
65203-0-001,17,1,15,15,88.23529412,100,2,1,4,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65203-0-001.pbm.png
65204-0-000,19,1,15,18,94.73684211,100,1,1,8,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65204-0-000.pbm.png
65206-0-000,28,1,0,0,0,100,20,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65206-0-000.pbm.png
65208-0-000,31,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65208-0-000.pbm.png
65210-0-001,15,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65210-0-001.pbm.png
65211-0-001,43,1,0,0,0,100,3,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65211-0-001.pbm.png
65212-0-000,18,1,17,18,100,100,,1,11,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65212-0-000.pbm.png
65213-0-000,36,1,19,19,52.77777778,100,16,1,24,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65213-0-000.pbm.png
65217-0-000,30,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65217-0-000.pbm.png
,,,,,,,,,,,
,,,,,,,,,133,,
,,,,,,,,,117,,
,,,,,,,,,,,
,,,,,,,,,8.47008547,,
